,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,Dr. Ena Valikov aka Notorious KGB Aggie,"Long Beach, CA","#GMO🧬#Journalism Wonkette 🎼
#Science🔬🌻#Agriculture 🐝🐞🌱#UCDavis #Aggies 🐎 #Veterinarian🖌 #medicine 💉🐕🐱
Politics/Geopolitics 🇺🇸🇷🇺🇮🇱🕊️
🐬🦑🤿🛩️",False,2022-07-24 17:00:13+00:00,"The problem of course is that Tom thinks that his expertise in one domain gave him license to be an expert in everything..including vaccines and #GMOs he knows EXACTLY Nothing about @mtracey 
so he employs #adhominen exposing his obvious partisanship. 
https://t.co/DEEMb7x0Rj https://t.co/0ICvxUptDW",,Twitter for Android
1,Arseni Karp ▲,A cabin deep in the woods,I KNOW THE TRUTH some questions must be asked. bot maintained by @geology_rocks,False,2022-07-24 16:16:28+00:00,Climate-change Nazis are torturing patriots with Hurricane Katrina to prove flat earth theory.  #GMOs,['GMOs'],ArseniKarp
2,agenda21,Detroit,"Freedom Tower is a syringe
COVID=Certificate Of Vaccination ID",False,2022-07-24 00:48:52+00:00,#GMOs #Monsanto #Bayer = cancer https://t.co/Bvh4Yf5Uow,"['GMOs', 'Monsanto', 'Bayer']",Twitter Web App
3,Protect Nature,Montreal,"Change the world, 1 person at a time,naturally.Changer le monde, une personne a la fois. Atheist.AntiGMO, Anti Vax Mandate. Don't call me they. I have no clone!",False,2022-07-23 21:19:40+00:00,"@saifedean If farmers are selling healthy food at fair prices, they will not fail. But over the last 30 years, have they become lazy and don't care anymore about healthy?  
oo many #GMOs out there selling at almost exactly the same price as organic. Truth? Truth is few actually want #GMOs.",,Twitter Web App
4,Protect Nature,Montreal,"Change the world, 1 person at a time,naturally.Changer le monde, une personne a la fois. Atheist.AntiGMO, Anti Vax Mandate. Don't call me they. I have no clone!",False,2022-07-23 21:15:52+00:00,"@ACTBrigitte Gates is following the money, he will grow organic livestock or crops to sell it at top price in China.  OR... he will grow nothing but #GMOs and sell it top price in the USA. Or maybe totally manufactured food to replace meat. Probably that one. Whatever he does, is for $$$$$s",,Twitter Web App
5,Arseni Karp ▲,A cabin deep in the woods,I KNOW THE TRUTH some questions must be asked. bot maintained by @geology_rocks,False,2022-07-23 16:16:27+00:00,Reptilians are harassing god fearing Christians with GMOs to turn our children gay.  #GMOs,['GMOs'],ArseniKarp
6,List Land,,We write lists based on your searches. There's a lot wrong with you people.,False,2022-07-23 14:25:37+00:00,Top 10 Myths about Genetically Modified Organisms https://t.co/qo4lAg7sBH #food #gmos,"['food', 'gmos']",Revive Social App
7,GMOAnswers,,"You have questions, we have answers. Find out more about GMOs at https://t.co/O1HtmxURbs",False,2022-07-23 11:55:01+00:00,"Intro to GMOs 101: 

What Are Genetically Modified Organisms (#GMO) and how are #GMOs made? Get the facts with this primer about GMO crops. #GMOs101 #GMObasics. https://t.co/MmQgquOdpF https://t.co/aGSWorL6XZ","['GMO', 'GMOs']",Sprout Social
8,Maiden of Utrecht,Utrecht,"Born American, now a European. Writer, cook, hiker, enjoyer of Regency reenactment + other random stuff. Now giving WAY fewer fucks for shorter periods of time.",False,2022-07-23 09:25:21+00:00,"@AliBess This is a great thread. There’s so much misinformation and misunderstanding out there about #NuclearEnergy technology. Over the years, as I’ve learned more about what it actually does (and doesn’t!) entail, I’ve become a (cautious) proponent. Same goes for #GMOs.",['NuclearEnergy'],Twitter for iPad
9,Marie Frank,USA,Tweeting Common Sense & Sharing the Funny. Looking for Inspiration Every Day.  #DoNoHarm #OWS #EndGMOs #BanGlyphosate #NatureOverBullshit #FuckCensorship,False,2022-07-23 03:58:42+00:00,"A decade after I had to eliminate wheat (later gluten) from my diet, soy became impossible for me to eat as well...tell me it has nothing to do w/ #GMOs! https://t.co/6X10TE3ftJ",,Twitter Web App
