,Time,User,Tweet
0,2022-04-12 17:56:01+00:00,7419Tech,RT @frc1678: We won the 2022 Silicon Valley Regional with our friends @cheesypoofs and @techsupport! And for the first time in Citrus Circu…
1,2022-04-12 17:51:51+00:00,7419Tech,RT @frc1678: Alliance selection is over and Citrus Circuits is paired up with @team254  and @7419Tech for alliance #1. Good luck everyone d…
2,2022-04-12 17:50:54+00:00,7419Tech,"RT @frc1678: We, along side @7419Tech and @team254, just won the 2022 Silicon Valley Regional! Everyone played extremely well today! We wan…"
3,2022-01-09 01:29:06+00:00,7419Tech,"RT @FRCTeams: Thank you for joining us as we kicked off the #RAPIDREACT presented by The @Boeing Company season. The full Kickoff, game ani…"
4,2020-03-11 07:22:52+00:00,7419Tech,We had a great time playing with our FTC Ri3D at NorCal States! We enjoyed our Lunchables :) and loved getting to p… https://t.co/SQNoYsTJv5
5,2020-02-25 03:32:45+00:00,7419Tech,"We had a great time demoing our FTC bots, doing robot storytime, and having the kids decorate their very own wobble… https://t.co/VMj7CjudTI"
6,2020-02-18 02:08:53+00:00,7419Tech,"Robot rebuild!

#omgrobots #firstrobotics #infiniterecharge #firstinspires https://t.co/sdBs9Sh9oK"
7,2020-02-14 08:49:29+00:00,7419Tech,Happy Valentine’s Day :) also #tb to when we bought a bunch of discounted valentines day chocolate on feb 15th last… https://t.co/ys2svM1HJ4
8,2020-01-24 07:49:36+00:00,7419Tech,"Great article on how bees can teach us about materials! #OMGRobots #robotics #FIRSTRobotics #FIRSTinpires 
https://t.co/h6sWhYLnck"
9,2020-01-19 05:08:55+00:00,7419Tech,"Having a great time testing out our shooter prototype!

#OMGrobots #firstrobotics #firstroboticscompetition… https://t.co/VaPABQ1Q0M"
10,2020-01-02 00:56:12+00:00,7419Tech,"As our first year as an FRC team, 2019 was a crazy year. We definitely had our rough patches, but also had lots of… https://t.co/2GFa3I7AwJ"
11,2019-12-15 02:56:08+00:00,7419Tech,We had a blast building a robot in three days and competing at the Google qualifier. It was great competing alongsi… https://t.co/wxOzKI20eV
12,2019-11-29 05:36:11+00:00,7419Tech,Thankful for everyone that makes up our robotics family :) as well as for the FIRST community! Happy Thanksgiving!… https://t.co/0WHZ19fIA9
13,2019-11-11 21:58:06+00:00,7419Tech,We had a great time hosting our 2nd annual FLL qualifer yesterday! A big thank you to all the teams that made it ou… https://t.co/g2Cg3qfXZG
14,2019-04-13 05:26:01+00:00,7419Tech,"We are in same division as @Robonauts118 let’s see how our robot, ‘!everybot’, does on a flyby!

#OMGrobots… https://t.co/62N8MmyYU5"
15,2019-03-29 14:03:36+00:00,7419Tech,"Wish we had one of these for load-in #SVR ! ⁦@FRCTeams⁩ ⁦@FIRSTinCA⁩ ⁦@BostonDynamics⁩ ? 
#omgrobots  https://t.co/Qcejq8gGIi"
16,2019-03-18 05:12:31+00:00,7419Tech,"Highest Rookie Seed and Rookie All Star @sfregional ! See you at #SVR and #FIRSTChamp Houston

Thanks to alliance c… https://t.co/CcyCJ5V0vn"
17,2019-03-17 19:47:54+00:00,7419Tech,@bobabots253 Thanks for the awesome welcome gift! #omgrobots #frc2019 #destinationdeepspace https://t.co/PpmPrs9eaG
18,2019-03-17 19:13:55+00:00,7419Tech,@bobabots253 Thanks for the awesome welcome gift! #omgrobots #frc2019 #destinationdeepspace https://t.co/xgbg8wUORV
19,2019-03-17 01:31:17+00:00,7419Tech,Ended the first day of quals in 7th! Thanks to our alliances and everyone at San Francisco for all the support!… https://t.co/Equll0MmVP
